Model,MPG,Cylinders,Displacement,Horsepower,Rear Axle Ratio,Pounds,Quarter Mile Seconds,Engine,Transmission,Gears,Carburetors
Mazda RX4,21,6,160,110,3.9,2620,16.46,V-Shaped,Manual,4,4
Mazda RX4 Wag,21,6,160,110,3.9,2875,17.02,V-Shaped,Manual,4,4
Datsun 710,22.8,4,108,93,3.85,2320,18.61,Straight,Manual,4,1
Hornet 4 Drive,21.4,6,258,110,3.08,3215,19.44,Straight,Automatic,3,1
Hornet Sportabout,18.7,8,360,175,3.15,3440,17.02,V-Shaped,Automatic,3,2
Valiant,18.1,6,225,105,2.76,3460,20.22,Straight,Automatic,3,1
Duster 360,14.3,8,360,245,3.21,3570,15.84,V-Shaped,Automatic,3,4
Merc 240D,24.4,4,146.7,62,3.69,3190,20,Straight,Automatic,4,2
Merc 230,22.8,4,140.8,95,3.92,3150,22.9,Straight,Automatic,4,2
Merc 280,19.2,6,167.6,123,3.92,3440,18.3,Straight,Automatic,4,4
Merc 280C,17.8,6,167.6,123,3.92,3440,18.9,Straight,Automatic,4,4
Merc 450SE,16.4,8,275.8,180,3.07,4070.0000000000005,17.4,V-Shaped,Automatic,3,3
Merc 450SL,17.3,8,275.8,180,3.07,3730,17.6,V-Shaped,Automatic,3,3
Merc 450SLC,15.2,8,275.8,180,3.07,3780,18,V-Shaped,Automatic,3,3
Cadillac Fleetwood,10.4,8,472,205,2.93,5250,17.98,V-Shaped,Automatic,3,4
Lincoln Continental,10.4,8,460,215,3,5424,17.82,V-Shaped,Automatic,3,4
Chrysler Imperial,14.7,8,440,230,3.23,5345,17.42,V-Shaped,Automatic,3,4
Fiat 128,32.4,4,78.7,66,4.08,2200,19.47,Straight,Manual,4,1
Honda Civic,30.4,4,75.7,52,4.93,1615,18.52,Straight,Manual,4,2
Toyota Corolla,33.9,4,71.1,65,4.22,1835,19.9,Straight,Manual,4,1
Toyota Corona,21.5,4,120.1,97,3.7,2465,20.01,Straight,Automatic,3,1
Dodge Challenger,15.5,8,318,150,2.76,3520,16.87,V-Shaped,Automatic,3,2
AMC Javelin,15.2,8,304,150,3.15,3435,17.3,V-Shaped,Automatic,3,2
Camaro Z28,13.3,8,350,245,3.73,3840,15.41,V-Shaped,Automatic,3,4
Pontiac Firebird,19.2,8,400,175,3.08,3845,17.05,V-Shaped,Automatic,3,2
Fiat X1-9,27.3,4,79,66,4.08,1935,18.9,Straight,Manual,4,1
Porsche 914-2,26,4,120.3,91,4.43,2140,16.7,V-Shaped,Manual,5,2
Lotus Europa,30.4,4,95.1,113,3.77,1513,16.9,Straight,Manual,5,2
Ford Pantera L,15.8,8,351,264,4.22,3170,14.5,V-Shaped,Manual,5,4
Ferrari Dino,19.7,6,145,175,3.62,2770,15.5,V-Shaped,Manual,5,6
Maserati Bora,15,8,301,335,3.54,3570,14.6,V-Shaped,Manual,5,8
Volvo 142E,21.4,4,121,109,4.11,2780,18.6,Straight,Manual,4,2
